,Unnamed: 0.1,Unnamed: 0,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,Label
0,0,0,-266.17783,122.56104,-21.123463,21.762756,-19.341541,11.618488,5.7468157,-3.815788,-0.24590056,-1.169516,0.035603214,-2.648892,0.6609129,Control
1,1,1,-270.86115,111.40631,-24.999044,38.66751,-14.9072275,18.87624,-5.3670073,2.0013132,1.4307636,1.4837774,-0.21396032,-1.692522,6.7686543,Control
2,2,2,-341.58023,91.021065,8.875104,33.09828,-0.20721485,10.00937,4.6465416,8.893864,3.9646761,0.821975,1.9967133,2.0355933,7.2319994,Control
3,3,3,-342.716,92.214935,6.312999,32.092026,-0.286356,10.177955,4.4620333,5.6953707,2.634138,-0.61308014,2.0274043,1.3002857,4.7044935,Control
4,4,4,-343.08246,102.267654,-5.278981,25.549656,-4.182303,15.3037815,3.8861976,11.669235,4.1539216,4.503671,0.9052308,0.85668796,8.428228,Control
5,5,5,-233.85077,118.88966,-33.967693,43.592113,-23.81033,20.462198,-6.998922,2.6836975,-2.2770061,3.649816,0.46217728,-4.5026746,6.8966312,Control
6,6,6,-458.55673,107.65263,-14.416366,34.459164,-10.542106,25.817425,-2.8998282,14.177446,8.719237,5.599344,5.234305,-1.6255059,8.376917,Control
7,7,7,-322.92438,87.57422,-13.514852,56.258022,-19.045998,28.108635,-2.38521,11.9056,4.688366,1.2595618,4.8574815,0.16284043,9.627523,Control
8,8,8,-318.9702,108.31575,-5.6113276,27.380833,-6.1312556,15.018179,0.17722233,3.8992605,8.28747,1.6894735,-1.8794621,-3.3297834,4.920924,Control
9,9,9,-445.2665,94.31567,4.40089,44.834476,-5.6351814,20.799803,-1.2196553,13.486523,3.1147506,7.5799084,4.7053394,-1.4159935,10.315456,Control
10,10,10,-354.34827,106.04698,-9.392307,28.834087,-11.435604,25.415842,0.23268606,12.223394,4.7549477,3.2074955,5.891606,0.5602774,9.081169,Control
11,11,11,-339.61194,92.22609,-4.3360376,27.331451,-2.8278928,17.225595,-2.5211272,9.515039,6.685938,1.4738727,2.5995686,2.1393595,10.349093,Control
12,12,12,-269.0689,120.682785,-21.004333,29.50718,-17.557884,17.225763,-3.6938553,1.0593376,-1.2580513,-1.308178,1.7969366,-0.23859112,2.8582551,Control
13,13,13,-311.55704,110.391396,-30.777172,29.514322,-13.353166,25.016306,-4.6599727,15.148362,5.7984595,2.9012375,-1.4924287,-2.0730395,10.563886,Control
14,14,14,-346.36465,109.5546,-6.724299,32.021526,-8.112462,22.463327,-3.691997,3.219109,7.049987,3.2996213,1.9619623,-3.6836832,10.064878,Control
15,15,15,-227.92583,97.08687,-32.016853,52.10744,-26.560993,17.150389,-16.605751,7.86445,-4.87083,-1.6669946,-0.9051066,-3.037133,7.1084275,Control
16,16,16,-326.88406,96.78731,-15.803297,37.000877,-12.300883,25.600016,-9.939899,15.547835,3.0119982,2.882298,6.079424,0.66367596,12.719366,Control
17,17,17,-358.92767,113.87414,-4.424584,34.0202,-4.661661,14.8817,4.1556597,6.6227427,4.335145,-0.09144372,0.6672443,1.6158761,3.7689419,Control
18,18,18,-434.12448,94.35391,-1.3673011,46.651146,-6.069129,17.851494,0.08174353,13.054417,0.14519025,2.9375443,5.008591,-0.74448943,6.739954,Control
19,19,19,-190.12419,140.09468,-38.100105,24.242382,-24.35631,6.1542497,-5.923642,-10.2026005,0.41460922,2.0512478,-2.9366226,-3.6918113,1.6371598,Control
20,20,20,-276.11624,123.92544,-12.751824,32.96981,-2.021141,14.278527,4.4754615,4.1618886,7.5944247,1.3034087,2.380611,5.7565126,4.790219,Control
21,21,21,-328.4005,130.05775,-7.864958,23.596743,-3.7296655,15.098014,-2.4826584,2.4416997,7.646814,2.3226955,1.8398678,1.5255759,9.848109,Control
22,22,22,-270.20337,110.13914,-21.281977,48.730892,-16.148994,18.916515,-5.406085,3.3202014,-0.6830993,-0.75862545,0.16196021,-4.120651,4.854024,Control
23,23,23,-351.0107,112.737274,-10.759961,34.095295,-1.9633327,22.216446,0.9362228,4.2410054,7.728174,0.48852804,-0.19532903,0.3170507,10.292909,Control
24,24,24,-300.60678,108.66166,-17.609697,31.756163,-4.3680778,18.693956,-1.2353535,4.1329536,6.080357,1.9484141,-5.2299232,0.73615456,10.770048,Control
25,25,25,-344.87048,111.31693,-4.9093766,33.28408,-12.086279,21.114717,3.1008048,16.532328,4.720817,5.0992556,5.9692345,-1.0203791,10.184399,Control
26,26,26,-236.18169,125.68084,-26.513662,26.618725,-16.579681,17.48083,-8.176771,1.0846708,-1.903959,0.3325866,-1.5951205,-2.4616728,4.2374306,Control
27,27,27,-351.22906,99.90226,-16.479969,38.216835,-8.6927185,24.480204,1.2025476,10.532116,6.403737,2.3568516,5.484565,-1.4587247,9.127639,Control
28,28,28,-406.9826,98.656624,-8.7142105,51.956715,-13.119464,21.361652,-8.579761,9.541954,-0.2795049,0.22486164,2.8847406,-0.5212774,8.096623,Control
29,29,29,-310.6427,99.68945,-7.4476953,40.009617,-13.300202,17.805048,-0.6478599,9.430907,0.27725717,-2.254288,-2.4441993,-1.938376,6.0847054,Control
30,30,30,-338.84216,115.94334,-17.00024,25.665606,-19.029783,25.94207,4.5423684,11.601091,7.229126,1.7823149,4.0274563,-1.9698648,7.543514,Control
31,31,31,-276.94778,107.628975,-38.46171,50.352863,-14.77952,34.759,-2.5374768,17.500164,5.2044363,5.2996006,2.344532,-2.9550514,13.303706,Control
32,32,32,-330.00055,114.47194,-9.85755,27.939774,-23.286652,17.695889,5.1716247,8.595048,2.1349125,1.4758943,1.7059687,-2.8330433,10.169142,Control
